,principal component 1,principal component 2,principal component 3,principal component 4,hier_cluster,la_name
0,-0.9740346378061617,0.34042809685130276,0.318212435540444,-0.7717944517087848,5,Adur
1,-2.680591709067712,-0.810972327297641,0.6011952679457159,0.11332504208685869,4,Allerdale
2,-1.463781574109885,0.3004725487232946,-0.8734436075721214,-0.15691193336774248,4,Amber Valley
3,-2.080614770541914,1.1780558636964278,0.24020394376261062,0.0555065954991433,5,Arun
4,-0.3714746165701784,-0.7060340254619262,0.11965441673066261,-0.2775529790245286,4,Ashfield
5,-0.3525349181330629,-0.6400802009747609,-0.36512478921991004,-0.2542226306925094,4,Ashford
6,-1.5952742686560715,1.224170534889408,0.007854602008263479,-0.45252496345769266,5,Babergh
7,4.394512368673154,-1.5866283172664442,0.011115321700094164,-0.9773114833823614,8,Barking and Dagenham
8,1.9026123435581275,-0.5744215450110869,-0.11966345473279916,-0.5381874378127098,8,Barnet
9,-1.1239683747932623,-1.356563963058689,-0.6933873789791722,0.3721729086734731,4,Barnsley
10,-1.8966793122083916,-2.245410841511572,0.9119552189388722,0.14000007759213118,4,Barrow-in-Furness
11,0.5207514194571301,-1.1244639986505527,-0.3840365048657363,-0.2735607954631852,1,Basildon
12,-0.12035282958951642,-0.8227125242667823,-0.5382518930683802,-0.07973362710793026,4,Basingstoke and Deane
13,-1.0542391148654964,1.1201734610942262,-1.3467483256752728,1.0233959521874847,3,Bassetlaw
14,1.024449354958599,0.885774761484186,1.0667686303679031,-0.07945775045916507,0,Bath and North East Somerset
15,0.31956072655616924,-0.1593967919817665,-1.004695571044638,0.6955639204949045,3,Bedford
16,0.8583959654783229,-0.9170681484357178,-0.3596889798659895,-0.5157333202983153,1,Bexley
17,2.2006183349007395,-2.5694251743889756,0.17971883043059525,0.9692523088588857,1,Birmingham
18,-0.19177207823450726,0.21420201559219457,-0.710588837854649,-0.23377550847626757,0,Blaby
19,1.061688554354154,-2.2450005236626787,-0.6272248885000791,0.7678555240495117,1,Blackburn with Darwen
20,-0.3653253560527534,-0.13384525174200218,1.2760059595672908,0.09724470614965518,0,Blackpool
21,-1.6676069516593857,-1.6784259362812723,-0.05939687691297603,0.2821599357744375,4,Blaenau Gwent
22,-0.468295501928067,0.2756856817296152,-0.6873628290279614,-0.4836976136345808,0,Bolsover
23,0.2697598590028751,-1.8697677223571252,-0.8299263530543606,0.5212499200616548,1,Bolton
24,-0.3459612966638823,-0.5474918935367666,-0.25205899898217166,0.12689945367406502,4,Boston
25,-1.5884672990682012,-1.2046482430667866,0.8237819459005166,2.8874826192029746,9,"Bournemouth, Christchurch and Poole"
26,1.083971490055279,-0.12708426824437258,0.6932883515188678,-0.15114295420565096,0,Bracknell Forest
27,0.6063739718679166,-2.4168099357559667,-0.2461191332882277,0.9115181955257647,1,Bradford
28,-0.6586463989009281,-0.21438009624652093,-0.03128586702838582,-0.39795522673962325,4,Braintree
29,-1.2784220609254895,1.3127488689031739,-0.6360549258618738,0.18960756238843346,3,Breckland
30,3.547964758734379,-1.4029721392088055,0.9313052809616014,-1.3501223129965378,8,Brent
31,-0.12068486677949884,0.1453860912282284,0.09934472547377717,-0.739041849716295,0,Brentwood
32,-1.460666490655512,-1.0016799113891912,-0.6329257140507162,1.0002098922178977,4,Bridgend
33,1.8956814888987654,-0.3716407863193443,1.206397430190681,-0.2163754364011219,8,Brighton and Hove
34,2.776357260898149,0.029576683816329833,-0.6780413623364404,0.2745261278277028,2,"Bristol, City of"
35,-1.6095114198876364,1.0052056416838073,-0.6427105003355192,-0.23449576241952189,3,Broadland
36,0.5232265649454441,-0.6248955686820854,-0.08632517081314127,-0.5581498406682199,1,Bromley
37,-0.7411872605437807,2.558967854987363,-1.4956468994014422,0.6556019032352469,3,Bromsgrove
38,0.7247648348059975,-0.4873106085823688,-0.4006881397447362,-0.7754624814935307,1,Broxbourne
39,0.0699145168844616,0.5159520357880336,0.3019143729805767,-1.322643338582996,0,Broxtowe
40,0.24205968307449668,0.9692459842744159,0.9968110858973211,2.0775944636163644,7,Buckinghamshire
41,0.24679919892921376,-1.480929008872527,-0.3607207568155671,0.3450517954017588,1,Burnley
42,-0.07998163674865325,-1.4292680138966456,0.12223707944447489,0.04234869174916672,1,Bury
43,-1.4457649061507132,-2.1665433607563016,0.16703033308035536,0.20089956687684168,4,Caerphilly
44,-0.7803428217403796,-1.5523176684402098,-0.02818469344033001,-0.01798446627246803,4,Calderdale
45,6.494584971594609,3.8935023204541443,4.214024566932302,3.4028585929374664,6,Cambridge
46,3.658137517273565,1.048088337249318,0.012470699368104984,0.27780385383160344,2,Camden
47,-0.7771804186343083,-0.8170222690851258,-0.3911737841399787,-0.15023505734789924,4,Cannock Chase
48,1.307084379025989,1.2501633393086917,1.7714915291026654,1.0740828259253328,7,Canterbury
49,2.130631807635748,-0.9289810795402622,-0.28466793305281746,1.487820604176805,1,Cardiff
50,-1.7945885395870917,-1.0982375604251495,-0.014238224150904113,0.3697453254701343,4,Carlisle
51,-2.037141898790985,-0.4451389690299289,-0.43772308823390893,0.42882299800094836,4,Carmarthenshire
52,-1.6667813530258546,-0.2109515894997549,0.18285646583393145,-0.6935719705134806,4,Castle Point
53,0.2502886334528486,0.268754262057789,-1.2753057235122653,-0.13326274298521004,3,Central Bedfordshire
54,-0.514768225731535,1.297535259315789,3.089406385735913,0.5981553191631372,0,Ceredigion
55,1.1954162983460808,1.235418706844959,-0.05368199328802705,1.2358626870845362,7,Charnwood
56,-0.047216044019369255,-0.02826725258820926,-0.30927300318999856,-0.2362707160763934,0,Chelmsford
57,0.23313744839957343,0.06151791672108416,3.241597266422583,-1.1926079982249358,0,Cheltenham
58,0.6973863430173319,1.3335887672201305,-1.8833018603383935,0.6076902683269063,3,Cherwell
59,-1.6102174993648823,0.2323232294451309,-0.9515419605904786,0.35164729123436744,4,Cheshire East
60,-1.1443849497183431,-0.14396466161638366,-0.8073170699067214,0.0659921342956911,4,Cheshire West and Chester
61,-1.2781614169545115,-0.7811774434850591,0.26592760322496095,-0.20158239628548705,4,Chesterfield
62,-1.1331183904072488,1.9289512547948218,0.7280352057195205,-0.7165367362186053,5,Chichester
63,-0.2293685372262992,1.7978772733494626,-2.30680439416912,1.2558699240391953,3,Chorley
64,1.5326888294347984,0.4241560027344189,-0.23673872220963638,1.0075128008408754,7,
65,-2.5950408975624546,0.0725487635426209,0.6432280028719801,0.2736637722371031,5,Colchester
66,-2.1935833478736524,-1.0614440527383509,0.6236820174311196,0.3891487346095836,4,Conwy
67,-1.9629143915702267,0.22657290332397959,-0.32467742482653816,0.24105176913035564,4,Copeland
68,-1.2667852945902012,2.303740576591388,0.386694836668335,-1.2315131856051342,5,Cornwall
69,-1.090356593004556,-0.19060303842146606,-0.4257585419725435,1.0255180203940673,4,Cotswold
70,2.787147923025808,-1.2708791069986924,-0.7389491285660225,1.5401114068064568,1,County Durham
71,-1.9715977439832693,1.1509616095626283,0.3913390453748944,-0.5269286576880088,5,Coventry
72,1.3554864465414713,-1.8755663809350542,-0.28124987901618514,-0.008130561057003837,1,Craven
73,2.2608676395426226,-0.7121848819118081,-0.4635100570639499,-0.4559001535748215,8,Crawley
74,0.4982412572841019,-0.02758902759533031,-0.6826986691616858,0.00031110909228414734,0,Croydon
75,-1.0494279954147274,-1.069054912541199,0.297376585960446,0.12498265841011949,4,Dacorum
76,2.0206243865316784,1.5515079647809984,-3.2472092584837524,0.29722330615307374,3,Darlington
77,-1.6232071921875013,-0.232521748126937,0.1869023405070124,-0.2251695457233317,4,Dartford
78,1.0077240546405608,-1.6134727128426443,0.391328259462638,0.2794768655745253,1,Denbighshire
79,-2.090666809982021,1.4176404856503093,0.6718322325425276,-0.5974057971673757,5,Derby
80,-0.5910451088164388,-0.36564101693329065,-1.5452587299880554,1.1347774495307812,4,Derbyshire Dales
81,-3.083776870467133,1.2880412672899728,3.173977914688841,6.087093240698127,9,Doncaster
82,-1.6049051576851434,0.46543744381522195,-0.45101740841045257,0.3832822952915804,4,Dorset
83,-0.7913421215194111,-1.526626242455965,-0.17934803425639725,0.16623357565694438,4,Dover
84,3.325328702579876,-0.3187195778508877,0.025945088456326617,-0.9796572509520373,8,Dudley
85,-0.7172769813373637,-0.15470395317548355,0.09765507526599101,-0.6627164196168157,4,Ealing
86,-1.6579126709747474,2.532905051875973,-0.4278125101239744,-0.5073543285329241,3,East Cambridgeshire
87,-1.0729115601477497,1.6239239156151413,-0.9579968947391188,-0.04414777657908218,3,East Devon
88,0.018041765198900668,-0.08399360386126759,-0.6692795072548048,-1.0256772396500449,0,East Hampshire
89,-2.127081719142231,2.1934596114417824,0.3368638628538227,-0.7708893905605883,5,East Hertfordshire
90,-2.2040605589461837,0.6860019948908048,0.040629848210892126,0.20178055898477443,5,East Lindsey
91,0.04864443334828039,0.6867650719861415,-2.068874680558385,0.9246269231910098,3,East Riding of Yorkshire
92,-2.9396363779958694,-0.3053740581730721,0.49660390895273143,1.5561646008653933,4,East Staffordshire
93,-0.908256085568589,0.7748278462239855,0.6272846851191657,-0.16109038307899307,5,East Suffolk
94,-0.24823324556120135,0.40045750519336226,-1.4106086738519676,-0.19232959475637953,3,Eastbourne
95,-2.6442086412420216,0.6311591372981162,-0.09980937291343338,0.07854573694681406,5,Eastleigh
96,0.2796813144211283,0.18696572277203227,-0.18853551330404028,-0.6568186536315123,0,Eden
97,1.928594917160316,-1.8490111753696348,0.8985702160518692,-0.7945026598161099,8,Elmbridge
98,0.34633786633554153,-0.08840331697056517,0.05527542246212806,-0.8937981046209732,0,Enfield
99,0.8561506028172708,0.500460818810768,-0.18569484307938622,-0.653289855550356,0,Epping Forest
100,-0.793599101620621,-0.9973577402434252,0.7377042838961992,-0.544706172875684,4,Epsom and Ewell
101,3.1346435813288562,2.557122314090781,0.44951554129932053,0.5192464560585419,2,Erewash
102,-0.984026170923203,0.3269191175174872,1.09080799000217,-1.1823601534337524,5,Exeter
103,-0.8342013456618108,-0.14477079386457975,0.36589058175755856,-0.41245623562099976,4,Fareham
104,-1.567149143747812,-1.57930672922593,-0.16047058077632384,0.04950921238304686,4,Fenland
105,-1.7148004430010453,0.11962029410631644,0.6518958735976609,-0.3742272848951937,5,Flintshire
106,-1.784202596799334,0.48533861981379006,1.5031906448247616,-0.6396158233496574,5,Folkestone and Hythe
107,-1.7678933607827496,2.822529882244336,-0.9997749623821037,-0.19406961925728355,3,Forest of Dean
108,-1.095239527493653,-2.07140454649949,0.9734430469622894,-0.891170048973472,4,Fylde
109,-0.7133216648865182,-0.3058818087077895,0.3232755903543187,-0.887876054779309,4,Gateshead
110,0.5740260399675727,-1.1285923982771024,0.8944063876796998,-0.473736965586329,0,Gedling
111,-0.36363495056969025,-0.8868452443299498,1.7553959676203772,-1.326319749854053,0,Gloucester
112,0.6508407399703527,-0.788655738738644,-0.5513615607874819,-0.2736524553938144,1,Gosport
113,-1.4440503235242128,-0.5973144558706521,0.7150442169403438,-0.558489109696177,4,Gravesham
114,3.6817750553181057,0.630228144439142,-1.4445593877982639,-0.01231455649705423,2,Great Yarmouth
115,2.2273258154676103,0.8948088020081376,1.5966667321586472,0.34462867831970356,8,Greenwich
116,-1.323261210139538,-0.7041885242049659,1.6317834741156878,0.5474584711514813,0,Guildford
117,3.7022841548810037,-0.42216552360817206,0.0022958800101309457,-1.3138598674175324,8,Gwynedd
118,-0.7210923062060013,-1.6733600520152065,-0.5586765577179053,0.3888309233802222,4,Hackney
119,-1.7424436660130713,1.049030636173281,0.7105919039924424,-0.638619560440078,5,Halton
120,5.266012118331407,2.1901549998364644,-1.4218871883887552,-1.6706619967260374,2,Hambleton
121,-0.9477474985549332,1.2962568811798048,-1.1762503067896752,0.005630122469668748,3,Hammersmith and Fulham
122,3.985681101641047,-0.3972359888217484,0.9839013878659937,-1.9758774985808722,8,Harborough
123,1.1864882076200347,-1.1235153936824314,-0.859955564465297,-0.14446422511456475,1,Haringey
124,-1.2159495748404938,0.7649445219282784,0.7406973307312248,-0.12213051175858522,5,Harlow
125,2.131508838783748,-0.7699091846134754,0.2975894868529194,-0.8931087977205977,8,Harrogate
126,0.33288251437040195,0.9137442997544104,-0.008636532459946287,-0.5805205707469733,0,Harrow
127,-1.0828314832165993,-1.790972635731149,0.01918767660865693,0.3690274602912924,4,Hart
128,-0.688853078463886,-0.6173114593434347,1.2903182974874183,-0.40965442956615966,0,Hartlepool
129,-1.3338903456308278,-0.11803401616232376,0.21669117615172664,-0.5773603457815997,4,Hastings
130,0.6909797492453562,-0.6240040085315748,-0.5507203638353513,-0.3579263313947364,1,Havant
131,-1.881053808973681,-0.44194241723531513,0.5771951262464754,-0.08951799269764231,4,Havering
132,1.0955285573408784,0.2646811270563713,-0.21206755997108256,-0.3813409149519676,0,"Herefordshire, County of"
133,-1.4767138703392377,-0.38624674002538706,-0.13201394334796543,-0.12975425587925496,4,Hertsmere
134,2.4870780354069115,-0.2500117296286193,-0.0076624359687951045,0.16259751219432073,2,High Peak
135,-1.064391766380162,-0.34647194484996385,-0.1783874619269789,-0.4110831358813624,4,Hillingdon
136,-0.8529259186836998,1.0724693970681962,-0.8450214092080768,0.2180829268264781,3,Hinckley and Bosworth
137,3.4724845481523445,-0.7968867703022703,-0.44742809829122915,-0.685730957333056,8,Horsham
138,-0.3780300556976479,0.11997386484921589,-0.4505618052149257,-0.015790260624279722,0,Hounslow
139,-0.006727626355010245,-1.5719837117584075,0.12117578001747789,-0.1279556148865493,1,Huntingdonshire
140,0.9779047483665531,-1.5964636953221818,0.6341837836617416,0.04216973818758875,1,Hyndburn
141,-2.4489394822086625,-0.8900661481893122,0.8691437272121529,-0.28706495887868505,4,Ipswich
142,-2.9038192477519162,1.0151472223035316,0.8634119658499543,0.4780320851229864,5,Isle of Anglesey
143,0.6620745167120102,2.3793803960701108,2.9817609989535656,-1.8599077211254373,0,Isle of Wight
144,4.823422657302993,1.4721289839140692,-0.3875086258323203,-0.4094965484380958,2,Isles of Scilly
145,1.175559182740729,0.22085464186574405,2.3211850013961746,-1.9318327016337111,0,Islington
146,-1.7238042159831568,-0.3196738367537406,1.4560623393965897,-0.821999030496162,5,Kensington and Chelsea
147,0.8230823010350351,-2.036357986301385,-0.2758238856900514,0.7277361534053488,1,King's Lynn and West Norfolk
148,2.3437386263829625,0.219911025335866,-0.05740466542231522,-0.09885812859481968,2,"Kingston upon Hull, City of"
149,-0.32095543602145477,-2.17533041077773,0.3898782569131943,0.4463580400650243,1,Kingston upon Thames
150,0.20442727295912372,-0.7805364309596978,-0.842112363489306,-0.09979357225201965,1,Kirklees
151,5.157408299143936,1.909877026415956,-0.32525198744866585,-2.2423694937633027,2,Knowsley
152,1.0948820219209794,1.5119907502726588,0.24239597130130106,2.5907648763595614,7,Lambeth
153,1.4629919721960905,-0.852111703721935,-0.41464308494709107,1.1456119660607567,1,Lancaster
154,2.928866054653297,-1.9894464628286388,0.35420994863790917,0.8505127246548347,1,Leeds
155,-1.6051084098328858,1.7510163089970807,-0.6593344386229244,-0.37548911332662116,3,Leicester
156,3.2076836954213253,-0.0013458395840979349,0.20702974175426245,-1.4182802175665952,8,Lewes
157,-0.5987941559859399,1.7731054861763313,-1.4193007709137426,-0.03586963286076733,3,Lewisham
158,3.5708649920818276,2.5015560011345976,0.32186996900980674,1.3517387091884085,2,Lichfield
159,1.9452526444149791,-0.5800277108850104,-0.41157262333529476,1.5819602460264628,1,Lincoln
160,2.224361028877516,-3.1047995289430688,0.7282110307268279,-0.08438947649070903,1,Liverpool
161,0.2717775395030582,0.5816626523470485,-1.4581628110806792,0.4651083916479965,3,Luton
162,-2.0661788791360634,0.549602869997388,0.14958627241780242,-0.8571157523588343,5,Maidstone
163,-1.7264287000302903,1.8830107758378076,0.6063373764668583,-0.20335453703119755,5,Maldon
164,4.73245661628257,0.2679673709971404,-1.368646510427288,2.0370679222122026,2,Malvern Hills
165,-0.3312416419459252,-0.8903978491111836,-0.054945530545371796,-0.23840725511589045,4,Manchester
166,0.577136809286452,-0.9125820379072499,-0.4863648727071934,0.3859124294100098,1,Mansfield
167,-1.5212651625769915,-0.07419408881859386,0.003525292685543758,-0.5250555435370999,4,Medway
168,-1.0392370076214836,0.9370409207218107,0.7651536728536612,0.053929179323900525,5,Melton
169,-1.1056416199146644,-2.108819069430435,-0.3438642999350247,0.6126610019363232,4,Mendip
170,3.17706248353611,0.30071136690402206,0.05960279802667404,-1.6144045221731447,8,Merthyr Tydfil
171,-0.9962228002391843,0.6069903031441104,0.1850430144625473,-0.907637487831894,5,Merton
172,-1.3551430344081337,1.4058256440408448,-0.5830277489388729,-0.4396340256257872,3,Mid Devon
173,-0.5462900314453407,0.28862125197103927,-0.3234246795718027,0.07789526298392803,0,Mid Suffolk
174,1.1499471495079552,-1.7442796178488267,0.1099345899985197,0.43695520519250114,1,Mid Sussex
175,1.0174466859806084,-1.4341870718375695,-0.5840467173619013,0.08695303565270197,1,Middlesbrough
176,-1.1825432953388402,0.4828666010464672,0.8843035160053305,-0.8686970416912962,5,Milton Keynes
177,-1.919831487689126,0.41375025900692564,0.5486825902703576,-0.34214701325187763,5,Mole Valley
178,-1.4905282671056779,-1.3619999392112547,-0.16115759290223797,0.16690725872211412,4,Monmouthshire
179,-2.5924776598442723,0.3642845612169145,0.9222924231912306,-0.5291041301818424,5,Neath Port Talbot
180,-0.7533857119380344,0.9668066415635254,-0.7807995295013712,0.21274393931551885,3,New Forest
181,2.666956944810696,-0.6697101644544025,0.11539176739279577,0.9463714521923628,1,Newark and Sherwood
182,-0.13550794492933962,-0.16653692847596221,1.6762781129544682,0.2390246274477915,0,Newcastle upon Tyne
183,4.935363818743876,-1.6542337286254285,-0.2141786089452601,-0.7927591802049817,8,Newcastle-under-Lyme
184,0.1577530830353961,-1.2205794030725914,-1.1516105837139963,0.7345117695935743,1,Newham
185,-1.1066991454637916,1.6419454548647676,-0.1886918540528346,-0.295096836237135,3,Newport
186,-1.587678238718076,0.25205086588243214,-0.08318006786188484,-0.6908062169911325,4,North Devon
187,-1.2499717438850875,-2.0482635042468407,0.5097706766683656,0.2855752658923124,4,North East Derbyshire
188,-0.08348752057792831,-0.4618942276339127,0.7863878793351126,-0.9646233574401658,0,North East Lincolnshire
189,-0.5848997704490033,1.7665008320249043,-0.292480655327648,-0.7733340362100026,3,North Hertfordshire
190,-1.3963795834020587,-1.4452407750498453,-0.07595152029283296,0.21504914484724966,4,North Kesteven
191,-3.2078467455534225,2.05099719916249,0.8407466051658095,-0.6956347725295129,5,North Lincolnshire
192,-0.1975911649416572,-0.3479017436638258,0.24313375484243455,2.11978957580575,7,North Norfolk
193,-1.6299686159075832,-0.13406128164740277,-0.003462119067999242,0.0873007542201154,4,North Northamptonshire
194,-1.3359490728566568,-0.8831187071923645,-0.49694207251067374,0.1142548060786118,4,North Somerset
